"period_label","period_hour","time_offset_sec","timestamp","node_id","node_name","node_type","lon","lat","x_m","y_m","users_present","serving_bs_id","serving_bs_idx"
"night",2,621,"2025-01-01 02:10:21","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,621,"2025-01-01 02:10:21","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,621,"2025-01-01 02:10:21","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,1,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,1,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,621,"2025-01-01 02:10:21","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,3,NA,NA
"night",2,622,"2025-01-01 02:10:22","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,4,"BS_10",10
"night",2,622,"2025-01-01 02:10:22","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,622,"2025-01-01 02:10:22","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,622,"2025-01-01 02:10:22","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"night",2,622,"2025-01-01 02:10:22","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,622,"2025-01-01 02:10:22","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,622,"2025-01-01 02:10:22","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,622,"2025-01-01 02:10:22","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,622,"2025-01-01 02:10:22","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,622,"2025-01-01 02:10:22","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,622,"2025-01-01 02:10:22","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,622,"2025-01-01 02:10:22","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,1,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,1,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,622,"2025-01-01 02:10:22","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,3,NA,NA
"night",2,623,"2025-01-01 02:10:23","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,3,"BS_10",10
"night",2,623,"2025-01-01 02:10:23","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,623,"2025-01-01 02:10:23","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,623,"2025-01-01 02:10:23","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"night",2,623,"2025-01-01 02:10:23","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,623,"2025-01-01 02:10:23","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,623,"2025-01-01 02:10:23","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,623,"2025-01-01 02:10:23","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,623,"2025-01-01 02:10:23","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,623,"2025-01-01 02:10:23","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,623,"2025-01-01 02:10:23","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,623,"2025-01-01 02:10:23","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,1,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,1,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,623,"2025-01-01 02:10:23","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,624,"2025-01-01 02:10:24","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,3,"BS_10",10
"night",2,624,"2025-01-01 02:10:24","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,624,"2025-01-01 02:10:24","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,624,"2025-01-01 02:10:24","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"night",2,624,"2025-01-01 02:10:24","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,624,"2025-01-01 02:10:24","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,624,"2025-01-01 02:10:24","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,624,"2025-01-01 02:10:24","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,624,"2025-01-01 02:10:24","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,624,"2025-01-01 02:10:24","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,624,"2025-01-01 02:10:24","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,624,"2025-01-01 02:10:24","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,0,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,1,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,1,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,624,"2025-01-01 02:10:24","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,625,"2025-01-01 02:10:25","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,3,"BS_10",10
"night",2,625,"2025-01-01 02:10:25","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,625,"2025-01-01 02:10:25","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,625,"2025-01-01 02:10:25","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"night",2,625,"2025-01-01 02:10:25","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,625,"2025-01-01 02:10:25","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,625,"2025-01-01 02:10:25","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,625,"2025-01-01 02:10:25","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,625,"2025-01-01 02:10:25","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,625,"2025-01-01 02:10:25","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,625,"2025-01-01 02:10:25","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,625,"2025-01-01 02:10:25","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,1,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,625,"2025-01-01 02:10:25","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,626,"2025-01-01 02:10:26","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,3,"BS_10",10
"night",2,626,"2025-01-01 02:10:26","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,626,"2025-01-01 02:10:26","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,626,"2025-01-01 02:10:26","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"night",2,626,"2025-01-01 02:10:26","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,626,"2025-01-01 02:10:26","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,626,"2025-01-01 02:10:26","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,626,"2025-01-01 02:10:26","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,626,"2025-01-01 02:10:26","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,626,"2025-01-01 02:10:26","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,2,"BS_1",1
"night",2,626,"2025-01-01 02:10:26","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,626,"2025-01-01 02:10:26","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,626,"2025-01-01 02:10:26","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,627,"2025-01-01 02:10:27","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,2,"BS_10",10
"night",2,627,"2025-01-01 02:10:27","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,627,"2025-01-01 02:10:27","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,627,"2025-01-01 02:10:27","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"night",2,627,"2025-01-01 02:10:27","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,627,"2025-01-01 02:10:27","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,627,"2025-01-01 02:10:27","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,627,"2025-01-01 02:10:27","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,627,"2025-01-01 02:10:27","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,627,"2025-01-01 02:10:27","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,2,"BS_1",1
"night",2,627,"2025-01-01 02:10:27","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,627,"2025-01-01 02:10:27","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,2,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,0,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,627,"2025-01-01 02:10:27","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,628,"2025-01-01 02:10:28","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,2,"BS_10",10
"night",2,628,"2025-01-01 02:10:28","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,628,"2025-01-01 02:10:28","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"night",2,628,"2025-01-01 02:10:28","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"night",2,628,"2025-01-01 02:10:28","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,628,"2025-01-01 02:10:28","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,628,"2025-01-01 02:10:28","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,628,"2025-01-01 02:10:28","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,628,"2025-01-01 02:10:28","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,628,"2025-01-01 02:10:28","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,628,"2025-01-01 02:10:28","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,628,"2025-01-01 02:10:28","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,2,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,628,"2025-01-01 02:10:28","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,629,"2025-01-01 02:10:29","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,2,"BS_10",10
"night",2,629,"2025-01-01 02:10:29","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,629,"2025-01-01 02:10:29","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,0,"BS_10",10
"night",2,629,"2025-01-01 02:10:29","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"night",2,629,"2025-01-01 02:10:29","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,629,"2025-01-01 02:10:29","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,629,"2025-01-01 02:10:29","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,629,"2025-01-01 02:10:29","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,629,"2025-01-01 02:10:29","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,0,"BS_6",6
"night",2,629,"2025-01-01 02:10:29","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"night",2,629,"2025-01-01 02:10:29","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,629,"2025-01-01 02:10:29","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,3,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,3,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,0,NA,NA
"night",2,629,"2025-01-01 02:10:29","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,4,NA,NA
"night",2,630,"2025-01-01 02:10:30","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,1,"BS_10",10
"night",2,630,"2025-01-01 02:10:30","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"night",2,630,"2025-01-01 02:10:30","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,0,"BS_10",10
"night",2,630,"2025-01-01 02:10:30","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"night",2,630,"2025-01-01 02:10:30","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,0,"BS_4",4
"night",2,630,"2025-01-01 02:10:30","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,0,"BS_9",9
"night",2,630,"2025-01-01 02:10:30","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,0,"BS_9",9
"night",2,630,"2025-01-01 02:10:30","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"night",2,630,"2025-01-01 02:10:30","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,1,"BS_6",6
"night",2,630,"2025-01-01 02:10:30","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,0,"BS_1",1
"night",2,630,"2025-01-01 02:10:30","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"night",2,630,"2025-01-01 02:10:30","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,2,NA,NA
"night",2,630,"2025-01-01 02:10:30","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"night",2,630,"2025-01-01 02:10:30","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,2,NA,NA
